ID,Name,Link,EIN,Overall Rating,Program Expenses,Administrative Expenses,Fundraising Expenses,Fundraising Efficiency,Working Capital Ratio (years),Program Expenses Growth,Liabilities to Assets,Independent Voting Board Members,No Material diversion of assets,Audited financials prepared by independent accountant,Does Not Provide Loan(s) to or Receive Loan(s) From related parties,Documents Board Meeting Minutes,Provided copy of Form 990 to organization's governing body in advance of filing,Conflict of Interest Policy,Whistleblower Policy,Records Retention and Destruction Policy,CEO listed with salary,Process for determining CEO compensation,Board Listed / Board Members Not Compensated,Donor Privacy Policy,Board Members Listed,Audited Financials,Form 990,Key staff listed
6326,The Prem Rawat Foundation - CA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11810,91-2166236,99.54,0.8470,0.0650,0.0860,0.07,1.33,0.0740,0.0220,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6327,Prep for Prep - NY,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4353,13-2613383,90.08,0.8160,0.0830,0.0990,0.12,4.03,0.0200,0.0380,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
6328,Presbyterian Children's Homes and Services of Missouri - MO,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5357,43-1699263,75.25,0.8740,0.0780,0.0460,0.54,0.13,-0.0800,0.5550,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6329,Presbyterian Children's Homes and Services of Texas and Louisiana - TX,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6355,75-0818172,95.17,0.8020,0.1060,0.0910,0.14,5.29,0.0700,0.0080,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6330,"Presbyterian Home for Children, AL - AL",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4354,63-0307953,83.17,0.7240,0.1530,0.1210,0.17,2.46,-0.1410,0.0060,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
6331,Presbyterian Lay Committee - TN,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4954,13-2548997,70.69,0.5480,0.2750,0.1750,0.31,0.85,-0.0340,0.0630,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
6332,Presbyterian Medical Care Mission - TX,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13391,75-1910600,89.48,0.9810,0.0130,0.0040,< $0.01,0.35,0.3890,0.0140,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
6333,Presbyterian Night Shelter - TX,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9137,75-1985591,95.31,0.7930,0.0950,0.1110,0.08,4.13,0.0750,0.0400,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6334,Presbyterian Reformed Ministries International - NC,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7290,73-1026057,75.22,0.6360,0.3480,0.0140,< $0.01,2.41,0.0600,0.0060,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
6335,Preservation Alliance for Greater Philadelphia - PA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5091,23-2106589,73.7,0.7090,0.1580,0.1320,0.17,0.73,-0.1340,0.2770,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
6336,Preservation Trust of Vermont - VT,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4867,03-0281195,84.04,0.8930,0.0670,0.0390,0.04,3.22,0.2480,0.0650,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
6337,Preservation Virginia - VA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10377,54-0568800,86.84,0.8540,0.0880,0.0570,0.16,4.84,-0.1250,0.0660,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
6338,The Presidential Prayer Team - AZ,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11799,86-1040691,90.79,0.6790,0.2540,0.0650,0.04,1.69,0.1010,0.0300,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
6339,Pretty Lake Camp - MI,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14587,38-1359229,83.71,0.8610,0.0710,0.0670,0.13,3.88,0.0370,0.0140,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
6340,Prevent Blindness - IL,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4197,36-3667121,89.76,0.7920,0.1190,0.0870,0.11,1.51,-0.0330,0.0850,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
6341,Prevent Cancer Foundation - VA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5435,52-1429544,91.24,0.7670,0.0770,0.1550,0.15,1.87,0.1700,0.1160,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6342,Prevent Child Abuse America - IL,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6085,23-7235671,96.3,0.9430,0.0140,0.0410,0.05,1.47,0.0560,0.0150,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
6343,Prevent Child Abuse North Carolina - NC,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12373,58-1366718,86.65,0.8750,0.0930,0.0310,0.03,0.32,0.0260,0.6180,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6344,Preventive Cardiovascular Nurses Association - WI,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14476,39-1804895,84.04,0.7970,0.1510,0.0510,0.04,6.05,0.0190,0.0450,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
6345,Prichard Committee for Academic Excellence - KY,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15155,61-1026214,90.86,0.7430,0.1890,0.0660,0.07,1.31,0.0160,0.0080,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6346,Pride Foundation - WA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12592,91-1325007,97.09,0.8170,0.0980,0.0830,0.09,2.72,0.1300,0.0130,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
6347,PrideRock Wildlife Refuge - TX,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=17762,75-2792911,75.24,0.7690,0.0160,0.2130,0.19,0.71,0.0040,0.3370,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
6348,Primarily Primates - TX,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5672,74-2164756,83.93,0.8730,0.0820,0.0440,0.04,3.36,0.0430,0.0220,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
6349,Primary Stages - NY,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10905,13-3258765,67.53,0.6900,0.1330,0.1760,0.31,< 0.01,-0.0330,1.3250,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
6350,Primavera Foundation - AZ,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10969,86-0733182,90.36,0.8120,0.1410,0.0450,0.05,1.09,0.0060,0.1740,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
6351,The Prince of Wales Foundation - DC,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9159,36-3820023,76.07,0.9250,0.0370,0.0370,0.04,0.44,0.2090,0.2600,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
6352,Princess Grace Foundation-USA - NY,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10636,23-2218331,85.67,0.7430,0.1510,0.1050,0.24,6.41,0.0400,0.0160,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
6353,Princeton Area Community Foundation - NJ,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6236,52-1746234,97.17,0.9390,0.0500,0.0090,< $0.01,10.17,0.2640,0.0120,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6354,Princeton Symphony Orchestra - NJ,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13488,22-2327766,91.21,0.6780,0.2270,0.0940,0.10,3.42,0.0940,0.0420,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6355,Priority-1 - NY,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5883,95-4118740,84.26,0.7840,0.1730,0.0420,0.04,1.15,0.0580,0.2220,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
6356,PRISM - MN,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15137,41-1442049,83.37,0.8230,0.1070,0.0680,0.07,0.14,-0.0540,0.1670,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
6357,Prison Fellowship International - DC,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8481,51-0247185,87.13,0.7000,0.0510,0.2480,0.22,1.12,0.0950,0.0010,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
6358,Prison Fellowship Ministries - VA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13383,62-0988294,75.58,0.6350,0.1030,0.2610,0.25,0.9,-0.0040,0.1760,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6359,Pro Athletes Outreach - CO,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6868,23-7400293,68.75,0.7980,0.1400,0.0600,0.07,0.02,0.1140,0.8010,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6360,Pro Kids Golf Academy - CA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12023,33-0617741,82.87,0.7970,0.0670,0.1350,0.22,2.57,-0.0020,0.0150,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
6361,Produce for Better Health Foundation - MO,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13532,51-0334897,86.85,0.8020,0.1310,0.0650,0.08,1.91,-0.0060,0.0640,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
6362,The Progeria Research Foundation - MA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11884,04-3460220,94.88,0.8260,0.1200,0.0520,0.07,1.63,0.0250,0.0800,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6363,Progressive Agriculture Foundation - AL,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15380,63-1166618,85.55,0.8350,0.0630,0.1010,0.11,0.26,-0.0200,0.0380,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6364,Project ALS - NY,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6755,13-4019464,89.02,0.8750,0.0610,0.0630,0.07,0.08,0.4220,0.9260,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
6365,Project AmaZon - IL,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16496,54-1383660,77.67,0.8830,0.0830,0.0320,0.02,1.08,-0.0290,0.1020,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
6366,Project Angel Food - CA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5882,95-4115863,81.2,0.7950,0.0740,0.1300,0.13,0.9,-0.0010,0.5170,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6367,Project Angel Heart - CO,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9235,84-1199481,93.93,0.8390,0.0410,0.1180,0.12,1.85,0.0920,0.0790,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6368,Project Bread - MA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6615,04-2931195,78.36,0.7470,0.0790,0.1730,0.17,0.46,-0.1160,0.3470,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
6369,Project C.U.R.E. - CO,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9945,84-1568566,94.74,0.9770,0.0060,0.0160,< $0.01,0.72,0.1090,0.1150,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
6370,Project Concern International - CA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4364,95-2248462,89.39,0.8880,0.0750,0.0360,0.03,0.07,0.1610,0.7060,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6371,Project Exploration - IL,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10157,36-4305660,77.15,0.7850,0.1020,0.1110,0.11,0.21,0.0030,0.4430,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
6372,Project Extreme - NY,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16063,36-4428246,62.96,0.7870,0.1020,0.1090,0.11,< 0.01,0.1870,1.0490,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
6373,Project Ezrah - NJ,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=17465,56-2513843,75.3,0.7490,0.1340,0.1150,0.13,1.06,-0.0190,0.0360,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
6374,Project FIND - NY,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6625,13-2666921,93.1,0.8120,0.1500,0.0370,0.04,1.09,0.0620,0.1810,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
6375,Project for Public Spaces - NY,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8245,13-2808114,83.89,0.6880,0.2930,0.0170,0.03,0.69,0.1130,0.0400,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
6376,Project GRAD Houston - TX,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5713,76-0450397,80.84,0.7770,0.1690,0.0530,0.07,0.33,-0.0190,0.4420,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6377,Project GRAD Los Angeles - CA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4365,95-4724314,89.48,0.9170,0.0560,0.0250,0.02,1.24,-0.0440,0.0470,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
6378,Project Harmony - NE,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=17180,47-0789054,92.22,0.8440,0.0920,0.0620,0.04,5.14,0.3170,0.0210,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
6379,Project HOME - PA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6826,23-2555950,93.62,0.8170,0.1410,0.0400,0.04,2.52,0.0690,0.2560,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6380,Project HOPE - VA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4367,53-0242962,83.84,0.9200,0.0270,0.0510,0.05,0.11,-0.1570,0.4130,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
6381,Project Inform - CA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7920,94-3052723,81.6,0.6470,0.0450,0.3060,0.27,0.52,0.0760,0.0880,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
6382,Project Kesher - NY,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=17458,36-3673594,75.37,0.6810,0.1310,0.1860,0.18,0.08,-0.0370,0.3480,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6383,Project Lead The Way - IN,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13675,14-1816385,86.6,0.8350,0.0890,0.0740,0.23,0.76,0.2660,0.4610,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
6384,Project MedSend - CT,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7891,75-2470543,88.53,0.7200,0.0840,0.1940,0.18,0.79,0.1010,0.0200,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6385,Project Mercy - IN,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5236,35-1410753,83.41,0.7440,0.1660,0.0880,0.09,1.58,-0.0190,0.0020,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
6386,Project Mexico & St. Innocent Orphanage - CA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6126,33-0521448,77.79,0.7800,0.1040,0.1140,0.12,1.08,-0.0010,0.0800,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
6387,ProJeCt of Easton - PA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11855,23-1699851,98.23,0.8680,0.0770,0.0540,0.05,1.33,0.0650,0.0260,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6388,Project On Government Oversight - DC,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10254,52-1739443,96.22,0.8140,0.0570,0.1270,0.09,2,0.1370,0.0780,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
6389,Project Open Hand - CA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5822,94-3023551,85.66,0.7320,0.0900,0.1760,0.19,0.58,0.0650,0.1730,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
6390,Project Patch - WA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14335,93-0929618,83.37,0.8090,0.1380,0.0520,0.09,1.41,0.0030,0.2560,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
6391,Project Sanctuary - CO,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16744,26-1410596,96.66,0.8880,0.0390,0.0720,0.07,0.84,0.1980,0.0260,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6392,Project Self-Sufficiency of Loveland-Fort Collins - CO,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14074,84-1206341,93.56,0.7520,0.1420,0.1040,0.09,1.48,0.0710,0.0250,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6393,Project SUCCESS - MN,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15320,41-1837278,90.3,0.7000,0.1380,0.1600,0.15,1.17,0.1420,0.0110,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
6394,Project Sunshine - NY,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11511,22-3607512,97.8,0.8290,0.1010,0.0690,0.05,0.96,0.1880,0.0350,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6395,Project Vote Smart - IA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6560,85-0364261,86.04,0.8220,0.1110,0.0660,0.07,1.38,0.0350,0.0220,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
6396,ProKids - OH,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11280,31-1020021,92.49,0.7410,0.0880,0.1700,0.12,2.31,0.1270,0.0300,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6397,PROLIFE Across AMERICA - MN,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14423,41-1654040,91.16,0.9220,0.0150,0.0610,0.06,0.01,0.2520,0.3280,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6398,Pro-Life Action League - IL,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9888,36-3081086,84.36,0.7740,0.1540,0.0710,0.07,0.2,-0.0070,0.0060,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
6399,ProLiteracy  - NY,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4007,16-6076384,91.21,0.7840,0.1780,0.0370,0.12,1.18,0.0300,0.1210,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6400,Promise Keepers - CO,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4369,84-1157834,70.94,0.7940,0.1070,0.0980,0.10,0.07,-0.3280,0.4060,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
6401,Promises2Kids - CA,http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7487,95-3655288,93.55,0.8260,0.0430,0.1300,0.12,1.91,0.1040,0.0520,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
